지점,시간,CO2_ppm,CH4_ppm,N2O_ppm,CFC11_ppm,CFC12_ppm,CFC113_ppm,SF6_ppm
안면도,1999-01-01,373.1,,,,,,
안면도,1999-02-01,374.0,,315.2,266.9,534.1,,
안면도,1999-03-01,374.9,,314.6,267.5,535.1,,
안면도,1999-04-01,375.1,1869.0,314.2,266.7,534.7,,
안면도,1999-05-01,374.0,1863.0,314.6,268.6,535.1,,
안면도,1999-06-01,370.8,1851.0,315.6,269.1,533.7,,
안면도,1999-07-01,366.6,1844.0,316.3,268.6,533.7,,
안면도,1999-08-01,363.8,1837.0,316.4,267.9,538.6,,
안면도,1999-09-01,365.3,1865.0,314.0,267.4,537.1,,
안면도,1999-10-01,370.0,1888.0,312.1,269.8,538.2,,
안면도,1999-11-01,372.8,1864.0,313.7,267.6,537.9,,
안면도,1999-12-01,373.8,1868.0,313.8,265.8,537.4,,
안면도,2000-01-01,375.3,1864.0,312.6,266.5,537.4,,
안면도,2000-02-01,376.3,1878.0,313.4,265.8,539.4,,
안면도,2000-03-01,377.1,1888.0,313.6,264.3,539.2,,
안면도,2000-04-01,377.6,1875.0,314.1,265.5,539.4,,
안면도,2000-05-01,375.8,1859.0,315.4,266.9,540.2,,
안면도,2000-06-01,372.1,1840.0,315.4,267.4,538.5,,
안면도,2000-07-01,368.1,1827.0,315.0,270.3,538.2,,
안면도,2000-08-01,365.7,1819.0,314.5,270.7,,,
안면도,2000-09-01,367.5,1859.0,314.9,267.6,538.6,,
안면도,2000-10-01,372.0,1868.0,316.3,265.7,540.3,,
안면도,2000-11-01,375.2,,316.5,265.6,539.5,,
안면도,2000-12-01,376.7,,316.5,265.4,537.8,,
안면도,2001-01-01,377.8,,315.8,266.0,538.9,,
안면도,2001-02-01,378.8,,314.3,266.5,537.7,,
안면도,2001-03-01,379.5,,314.3,265.3,539.4,,
안면도,2001-04-01,379.8,,315.3,266.2,539.1,,
안면도,2001-05-01,378.8,1841.0,316.0,265.8,541.9,,
안면도,2001-06-01,375.2,1850.0,317.0,263.9,537.7,,
안면도,2001-07-01,370.2,1809.0,317.3,264.2,540.4,,
안면도,2001-08-01,367.8,1838.0,316.6,267.4,541.9,,
안면도,2001-09-01,369.7,1874.0,315.7,264.9,538.8,,
안면도,2001-10-01,374.2,1874.0,315.7,263.7,541.8,,
안면도,2001-11-01,377.6,1861.0,316.7,262.5,541.4,,
안면도,2001-12-01,378.3,1864.0,317.6,262.8,540.0,,
안면도,2002-01-01,379.4,1877.0,317.8,262.6,541.3,,
안면도,2002-02-01,380.5,1875.0,317.7,262.7,540.1,,
안면도,2002-03-01,380.6,1868.0,317.7,263.6,541.6,,
안면도,2002-04-01,381.0,1864.0,318.3,264.5,544.0,,
안면도,2002-05-01,380.3,1863.0,318.8,265.7,542.7,,
안면도,2002-06-01,376.9,1858.0,319.0,266.1,543.1,,
안면도,2002-07-01,372.7,1825.0,318.9,267.0,543.5,,
